Address,COUNTA of Address,ADM3_EN,ADM2_EN,ADM1_EN
"SHAKPURA,BOALKHALI,CTG",8,Boalkhali,Chittagong,Chittagong
"SONAGAZI,FENI",8,Sonagazi,Feni,Chittagong
"SOUTH KATTOLI,CUSTOM ACADEMY,PAHARTOLI,CTG",8,Pahartali,Chittagong,Chittagong
"AKBARSHA, CTG",7,Unknown,Unknown,Unknown
AKBARSHAH. CTG,7,Unknown,Unknown,Unknown
"BARO KUMIRA,SITAKUNDA,CTG",7,Sitakunda,Chittagong,Chittagong
"BAURIA,SANDWIP,CTG",7,Sandwip,Chittagong,Chittagong
CHANDANAISH CTG,7,Unknown,Unknown,Unknown
CHANDANAISH. CTG,7,Unknown,Unknown,Unknown
"CHANDINA,CUMILLA",7,Chandina,Comilla,Chittagong
"CHOKORIYA, COX BAZAR",7,Unknown,Unknown,Unknown
"FATEYABAD,HATHAZARI,CTG",7,Hathazari,Chittagong,Chittagong
"HATIA,NOAKHALI",7,Noakhali Sadar (Sudharam),Noakhali,Chittagong
"JURARGANJ,CTG",7,Ramganj,Lakshmipur,Chittagong
"KADURKHIL,BOALKHALI,CTG",7,Boalkhali,Chittagong,Chittagong
"KAPTAI,RANGAMATI",7,Kaptai,Rangamati,Chittagong
"KOTOWALI, CTG",7,Kotwali,Chittagong,Chittagong
LAXMIPUR,7,Unknown,Unknown,Unknown
"MATIRANGA,KHAGRACHARI",7,Matiranga,Khagrachhari,Chittagong
"MIRSARAI,CTG.",7,Sarail,Brahamanbaria,Chittagong
"MOHADEBPUR,SITAKUNDA, CTG",7,Sitakunda,Chittagong,Chittagong
PAHARTALI. CTG,7,Pahartali,Chittagong,Chittagong
"PANCHLAISH, CTG",7,Panchlaish,Chittagong,Chittagong
"PEKUA,COX'SBAZAR",7,Pekua,Cox's Bazar,Chittagong
"RAWZAN,CTG.",7,Raozan,Chittagong,Chittagong
SADARGHAT CTG,7,Bagha,Rajshahi,Rajshahi
"SATBARIA,CHANDONAISH,C TG",7,Chandanaish,Chittagong,Chittagong
"SUNAGAZI,FENI",7,Sonagazi,Feni,Chittagong
AGRABAD CTG,6,Unknown,Unknown,Unknown
BAKALIA CTG,6,Bakalia,Chittagong,Chittagong
BANDARBAN,6,Bandarban Sadar,Bandarban,Chittagong
"BARO HATIYA,LOHAGARA,CTG",6,Hatiya,Noakhali,Chittagong
"BHUJPUR, CTG",6,Bhuapur,Tangail,Dhaka
"BISWA COLONY,AKBARSHAH,CTG",6,Unknown,Unknown,Unknown
"CHAGOLNAIYA,FENI",6,Feni Sadar,Feni,Chittagong
CHANDANISH CTG,6,Chandanaish,Chittagong,Chittagong
"CHANDANISH,CTG.",6,Chandanaish,Chittagong,Chittagong
CHANDGAO CTG,6,Chandgaon,Chittagong,Chittagong
CHANDINA CUMILLA,6,Chandina,Comilla,Chittagong
"CHARLUXMA,KARNAFULLY, CTG.",6,Unknown,Unknown,Unknown
CHAWKBAZAR CTG,6,Chak Bazar,Dhaka,Dhaka
"CHOTO KUMIRA,SITAKUNDA,CTG",6,Sitakunda,Chittagong,Chittagong
"DAUBLEMORING,CTG.",6,Double Mooring,Chittagong,Chittagong
"DOUBLEMURING, CTG",6,Double Mooring,Chittagong,Chittagong
"FOUZDARHAT,SITAKUNDA, CTG",6,Sitakunda,Chittagong,Chittagong
"GOCCHI,DEWANPUR,RAOZ AN,CTG",6,Raozan,Chittagong,Chittagong
"HARAMIA,SANDWIP,CTG",6,Sandwip,Chittagong,Chittagong
HATHAZARI CTG,6,Hathazari,Chittagong,Chittagong
